
SOURCE data/import-account.sql

mysql> SELECT * FROM Account;
+------+--------------------------------------------------------+-------------+---------------------+---------------------+
| id   | email                                                  | password    | createdOn           | modifiedOn          |
|   67 | orci@sit.co.uk                                         | FDK96BLN6XE | 2016-05-20 06:39:53 | 2016-06-02 10:40:16 |
|   68 | Vivamus.molestie@Infaucibus.org                        | XDE19XPH8OA | 2016-05-25 23:32:35 | 2016-05-07 16:13:49 |
|   69 | dapibus.quam@interdumligulaeu.ca                       | EIW32VON7TZ | 2015-03-26 05:37:20 | 2016-04-11 08:15:23 |
|   70 | Cum.sociis@laoreet.co.uk                               | VHU41KFV3RH | 2015-12-25 08:14:41 | 2016-08-13 20:08:15 |
|   71 | magna.Praesent@Inmipede.edu                            | DUI57VKX5US | 2015-02-28 22:41:15 | 2014-10-02 04:08:25 |
|   72 | mauris.id@tellusidnunc.net                             | TTS78NKD2EX | 2016-01-30 22:40:06 | 2016-09-16 02:39:36 |
|   73 | sit@nonfeugiatnec.org                                  | LET04GZT3WC | 2015-12-27 17:03:23 | 2016-01-15 17:35:16 |
|   74 | orci.consectetuer.euismod@lacinia.com                  | WRD33AMO3FI | 2015-08-30 01:26:22 | 2015-10-30 15:05:43 |
|   75 | Nunc.pulvinar.arcu@vel.ca                              | GIH18PCO4OI | 2015-09-06 10:49:44 | 2016-08-31 19:57:16 |
|   76 | consectetuer.rhoncus@pedeacurna.net                    | RNW54RQM9KM | 2015-09-03 18:55:30 | 2016-06-25 02:06:26 |
|   77 | tincidunt.nibh.Phasellus@Inscelerisquescelerisque.net  | KWC62HNN3YZ | 2016-06-06 17:41:29 | 2015-02-16 03:01:13 |
|   78 | ridiculus.mus@euismod.net                              | PED45GXC5ST | 2016-09-08 19:17:15 | 2014-10-21 04:05:05 |
|   79 | semper.egestas.urna@ipsumSuspendissesagittis.ca        | KPO28CXW5CJ | 2015-07-02 07:28:24 | 2016-06-13 09:15:11 |
|   80 | Aliquam.adipiscing.lobortis@lobortisnisinibh.org       | RJJ78IJI8MH | 2014-12-19 01:02:56 | 2016-02-19 19:17:11 |
|   81 | ut@Integersemelit.org                                  | IDT43CMF8TQ | 2014-12-04 19:26:21 | 2015-11-02 14:10:28 |
|   82 | natoque@perinceptoshymenaeos.net                       | NTM99AEY1KG | 2015-06-23 13:08:33 | 2015-05-12 21:52:33 |
|   83 | lobortis@metus.edu                                     | FKD39HFM8CG | 2016-01-13 07:36:30 | 2015-06-12 04:07:50 |
|   84 | aptent@nequesedsem.edu                                 | FJI67WVI4ZC | 2016-05-07 05:19:41 | 2016-02-02 23:19:08 |
|   85 | lacinia@sapien.co.uk                                   | BIT02RZI4QJ | 2014-12-22 17:43:23 | 2015-07-26 11:45:08 |
|   86 | nec.ligula@sedtortorInteger.com                        | VUY00XLF1GQ | 2015-07-16 06:44:55 | 2016-03-23 21:54:34 |
|   87 | blandit@nec.com                                        | FVZ33MOA9WU | 2015-09-29 07:28:31 | 2015-05-11 06:20:12 |
|   88 | adipiscing@Sedetlibero.ca                              | OGF48ZJQ7EL | 2015-11-05 04:52:01 | 2015-03-18 20:30:30 |
|   89 | commodo@tincidunt.co.uk                                | FUD20VFX9GT | 2015-09-09 19:35:53 | 2015-12-15 05:25:30 |
|   90 | eu.eros.Nam@temporarcu.edu                             | QYC93TSB5TQ | 2016-02-15 06:57:17 | 2015-01-31 06:45:03 |
|   91 | Donec.vitae@et.ca                                      | LQY70QKW5NH | 2016-02-20 05:41:21 | 2016-06-22 09:27:07 |
|   92 | ipsum.non@Nullaeu.net                                  | MVM63WHZ9LE | 2015-02-28 02:35:25 | 2015-08-23 09:24:16 |
|   93 | Duis.ac.arcu@ascelerisque.co.uk                        | NBB12JMT4OP | 2016-05-20 15:15:54 | 2015-08-04 12:23:42 |
|   94 | velit.eget.laoreet@placerat.net                        | MIB94DAD1WH | 2015-08-09 23:48:01 | 2016-03-10 11:44:22 |
|   95 | lorem@apurusDuis.edu                                   | RZH78FRG9YF | 2015-06-12 23:15:19 | 2015-06-29 03:50:13 |
|   96 | fermentum.convallis@ridiculusmusAenean.edu             | NCD25RTP4ZI | 2016-07-24 21:25:01 | 2015-08-07 15:33:31 |
